,Name,University,Sport,Sponsors
13,Anna Morgan,Furman University,Golf,Barstool Sports
14,Paul Rasoumoff,California Baptist University,Swimming and Diving,Barstool Sports
15,Ben Capehart,Virginia Military Institute,Baseball,Barstool Sports
16,Hailey Burns,University of Vermont,Ice Hockey,Barstool Sports
17,Ali Blanchard,Princeton University,Softball,Barstool Sports
18,Derek Evans,New Jersey Institute of Technology,Volleyball,Barstool Sports
19,Dalton Renne,University of Hawaii at Manoa,Baseball,Barstool Sports
0,Emma Hoffner,Ohio University,Softball,Barstool Sports
1,Enrico Peele,Savannah State University,Baseball,Barstool Sports
2,Mark Timmins,University of Nebraska Omaha,Baseball,Barstool Sports
3,Cody Schiavon,University of Vermont,Ice Hockey,Barstool Sports
4,Zach Okabe,St. Cloud State University,Ice Hockey,Barstool Sports
5,Nick Coy,University of Virginia,Wrestling,Barstool Sports
6,Leah Bieniewicz,Oakland University,Softball,Barstool Sports
7,Ryan Grabosch,New Mexico State University,Baseball,Barstool Sports
8,Davis Heller,University of Alabama,Baseball,Barstool Sports
9,Jack Moore,University of Virginia,Swimming and Diving,Barstool Sports
10,Hugh Camiener,Columbia University,Squash,Barstool Sports
11,Kaya Ignacio,University of Virginia,Soccer,Barstool Sports
12,Bryce Smith,Northern Kentucky University,Baseball,Barstool Sports
13,Thomas de Wit,California Baptist University,Water Polo,Barstool Sports
14,Miles Richardson,Wofford College,Football,Barstool Sports
15,Luke Maier,Kent State University,Ice Hockey,Barstool Sports
16,Chris Conti,Rutgers University,Football,Barstool Sports
17,John Fox,St. Bonaventure University,Lacrosse,Barstool Sports
18,Miles Fludd,Norfolk State University,Football,Barstool Sports
19,Ryan Tverberg,University of Connecticut,Ice Hockey,Barstool Sports
0,Jack Miller,College of Charleston,Basketball,Barstool Sports
1,Joshua Becker,University of Massachusetts Lowell,Baseball,Barstool Sports
2,KJ Adams,Texas Tech University,Volleyball,Barstool Sports
3,Caroline Baratta,Marist College,Softball,Barstool Sports
4,Cameron Warfield,Yale University,Football,Barstool Sports
5,Ashley Harlock,Michigan State University,Field Hockey,Barstool Sports
6,Tanner Updegraff,Drexel University,Wrestling,Barstool Sports
7,Samantha White,Michigan State University,Soccer,Barstool Sports
8,Lizzi Brown,Manhattan College,Volleyball,Barstool Sports
9,Kate Fischer,Long Island University,Water Polo,Barstool Sports
10,Will Feil,"University at Albany, SUNY",Baseball,Barstool Sports
11,Kate Kobayashi,Miami University,Softball,Barstool Sports
12,Carli Ciocco,Appalachian State University,Field Hockey,Barstool Sports
13,Lukas Betz,"University of Nevada, Las Vegas",Soccer,Barstool Sports
14,Devon Krzanowski,University of North Dakota,Football,Barstool Sports
15,Maeve Koscielski,University of Notre Dame,Tennis,Barstool Sports
16,Max Gustafson,West Virginia University,Swimming and Diving,Barstool Sports
17,Riley Bunstine,Ohio University,Swimming and Diving,Barstool Sports
18,Connor Satterthwaite,Southern Illinois University Carbondale,Fishing,Barstool Sports
19,Danielle Dundas,Old Dominion University,Lacrosse,Barstool Sports
0,Jake Lewis,Ball State University,Baseball,Barstool Sports
1,Anderson Kopp,University of MissouriâKansas City,Basketball,Barstool Sports
2,Austin Blumbergs,St. Bonaventure University,Lacrosse,Barstool Sports
3,Jake Moody,University of Michigan,Football,Barstool Sports
4,Ellie Morrison,Bryant University,Field Hockey,Barstool Sports
5,Gabby Grimaldi,Creighton University,Soccer,Barstool Sports
6,Brendan Mulry,Pennsylvania State University,Lacrosse,Barstool Sports
7,Patrick Bentley,James Madison University,Football,Barstool Sports
8,Gandhi Cruz,DePaul University,Soccer,Barstool Sports
9,Maggie Keenan,Austin Peay State University,Volleyball,Barstool Sports
10,Clay Radenz,North Dakota State University,Wrestling,Barstool Sports
11,Mandalay Rennon,"University of Nevada, Reno",Volleyball,Barstool Sports
12,Tessa Brugler,Drexel University,Basketball,Barstool Sports
13,Malina Mitchell,West Virginia University,Cross Country,Barstool Sports
14,Luke Ashworth,University of Arizona,Football,Barstool Sports
15,Morgyn Wynne,Oklahoma State UniversityâStillwater,Softball,Barstool Sports
16,Angelle Diamond,Villanova University,Volleyball,Barstool Sports
17,James Dulin,Jacksonville University,Golf,Barstool Sports
18,Abigail Hellinga,University of Illinois at Chicago,Swimming and Diving,Barstool Sports
19,Kari DeYoung,Jacksonville University,Beach Volleyball,Barstool Sports
0,Veronica Kelly,Dartmouth College,Basketball,Barstool Sports
1,Michelle Leone,Pennsylvania State University,Softball,Barstool Sports
2,Connor Barrett,Valparaiso University,Basketball,Barstool Sports
3,Austin Butler,University of North Carolina at Charlotte,Basketball,Barstool Sports
4,Grace Koester,Arizona State University,Tennis,Barstool Sports
5,Michael Albers,"Pennsylvania State University, Harrisburg",Soccer,Barstool Sports
6,Bailey Betzer,Indiana State University,Swimming and Diving,Barstool Sports
7,Hannah Bachert,University of Rhode Island,Rowing,Barstool Sports
8,Quinn Closson,University of North Carolina at Chapel Hill,Soccer,Barstool Sports
9,Harvey Maughan,Georgia State University,Tennis,Barstool Sports
10,Avery McCrillis,University of North Texas,Volleyball,Barstool Sports
11,Devin Morrow,University of Oregon,Football,Barstool Sports
12,Ronaldo Marshall,Boston University,Soccer,Barstool Sports
13,Nick Callis,University of North Carolina at Charlotte,Track and Field,Barstool Sports
14,Andrew Wallace,Drexel University,Golf,Barstool Sports
15,Lauren Hughes,Butler University,Volleyball,Barstool Sports
16,Jadon Montgomery,The Ohio State University,Fencing,Barstool Sports
17,Olivia Sahaydak,Duke University,Field Hockey,Barstool Sports
18,Natalie Regalado,San Diego State University,Cross Country,Barstool Sports
19,Ty Wilson,Liberty University,Baseball,Barstool Sports
0,Kevin Klausz,Northwestern University,Soccer,Barstool Sports
1,Georgia Fusco,Loyola Marymount University,Beach Volleyball,Barstool Sports
2,Ava Tankersley,University of Arkansas,Soccer,Barstool Sports
3,Chris Gerard,Virginia Tech,Baseball,Barstool Sports
4,Cole Dow,University of Dayton,Football,Barstool Sports
5,Ashton McGee,University of North Carolina at Chapel Hill,Baseball,Barstool Sports
6,Stephanie Young,Florida Atlantic University,Volleyball,Barstool Sports
7,Alec Fleming,Purdue University,Cross Country,Barstool Sports
8,Tommy Schmock,Ohio University,Basketball,Barstool Sports
9,Jenna Kean,University of Louisiana at Lafayette,Softball,Barstool Sports
10,Grace O'Shea,University of Pennsylvania,Track and Field,Barstool Sports
11,Diego Sotelo,Harvard University,Wrestling,Barstool Sports
12,Chris Reynolds,University of North Carolina at Charlotte,Football,Barstool Sports
13,Elizabeth Boeckman,Princeton University,Swimming and Diving,Barstool Sports
14,Liz Norman,North Carolina State University,Tennis,Barstool Sports
15,Lauren Crossley,North Carolina State University,Rifle,Barstool Sports
16,Emma Hilton,Ball State University,Field Hockey,Barstool Sports
17,Phil Conti,College of William & Mary,Baseball,Barstool Sports
18,Griffin Pumilia,Lehigh University,Cross Country,Barstool Sports
19,Peter Chang,University of Memphis,Soccer,Barstool Sports
0,Connor Visnic,Providence College,Track and Field,Barstool Sports
1,Amari McNeill,University of Tennessee,Football,Barstool Sports
2,Mike Bekelja,Duquesne University,Basketball,Barstool Sports
3,Victor Tremblay,University of Texas at Austin,Swimming and Diving,Barstool Sports
4,Jay Long,Southeastern Louisiana University,Baseball,Barstool Sports
5,Dominic Verrastro,University of Pittsburgh,Baseball,Barstool Sports
6,Brinley Bell,Michigan State University,Soccer,Barstool Sports
7,Molly Kipp,Baylor University,Volleyball,Barstool Sports
8,Jack Doherty,Rutgers University,Golf,Barstool Sports
9,Joel VanHook,University of Detroit Mercy,Soccer,Barstool Sports
10,Jack Hamilton,University of Kentucky,Swimming and Diving,Barstool Sports
11,Marty Boyle,University of Tampa,Baseball,Barstool Sports
12,Jacob Corn,Western Carolina University,Baseball,Barstool Sports
13,Elizabeth Mollohan,Cornell University,Rowing,Barstool Sports
14,Parker Webb,Portland State University,Volleyball,Barstool Sports
15,Devon Webb,Kennesaw State University,Lacrosse,Barstool Sports
16,Connor Golembeski,"University of California, Berkeley",Golf,Barstool Sports
17,Thomas Hennigan,Appalachian State University,Football,Barstool Sports
18,Joseph Sanchez,University of South Florida,Baseball,Barstool Sports
19,Loren Sefcik,"University of Maryland, College Park",Soccer,Barstool Sports
0,Ryan Zimmer,University of Michigan,Baseball,Barstool Sports
1,Zach Redding,Iowa State University,Wrestling,Barstool Sports
2,Will Hudson,Samford University,Football,Barstool Sports
3,Abdoul Kone,University of Massachusetts Amherst,Football,Barstool Sports
4,Griffin Selby,Wagner College,Baseball,Barstool Sports
5,Maria Mulvihill,Marquette University,Lacrosse,Barstool Sports
6,Nadav Aaronson,University of Michigan,Swimming and Diving,Barstool Sports
7,David Hopper,Saint Louis University,Tennis,Barstool Sports
8,Kaleb Boateng,Clemson University,Football,Barstool Sports
9,Madison Sanders,Southern Utah University,Softball,Barstool Sports
10,Jake Baker,University of Kansas,Baseball,Barstool Sports
11,Chelsea Vaughan,"University of Nevada, Reno",Volleyball,Barstool Sports
12,Bryce Kirtz,Northwestern University,Football,Barstool Sports
13,Natalie Schutte,Xavier University,Soccer,Barstool Sports
14,Ian Escoto,California Baptist University,Water Polo,Barstool Sports
15,Nathan Lagoa,Providence College,Soccer,Barstool Sports
16,Bradley Marek,Ferris State University,Ice Hockey,Barstool Sports
17,Miller Lantis,University of Georgia,Equestrian,Barstool Sports
18,Sam Zywna,"University of Maryland, College Park",Field Hockey,Barstool Sports
19,Brian Zaffino,New York UniversityÂ (NYU),Ice Hockey,Barstool Sports
0,Frankie Niemann,Tulane University,Baseball,Barstool Sports
1,Jack Krause,Bowling Green State University,Baseball,Barstool Sports
2,Tallyn Bronson,Belmont University,Soccer,Barstool Sports
3,Ava Schmoll,North Dakota State University,Volleyball,Barstool Sports
4,Marcus Benson,South Dakota State University,Swimming and Diving,Barstool Sports
5,Jake Rock,North Dakota State University,Football,Barstool Sports
6,Chris Masur,Bucknell University,Soccer,Barstool Sports
7,Dominic Rainville,University of New Hampshire,Skiing,Barstool Sports
8,Ethan Andersen,Iowa State University,Wrestling,Barstool Sports
9,Riley Moses,University of NebraskaâLincoln,Football,Barstool Sports
10,Will Celiberti,"University of Maryland, College Park",Golf,Barstool Sports
11,Jasmine Lewis,Clemson University,Rowing,Barstool Sports
12,Ryan Williams,Miami University,Cross Country,Barstool Sports
13,Kristy Castelan,Nicholls State University,Soccer,Barstool Sports
14,Max Mircovich,University of Rhode Island,Baseball,Barstool Sports
15,Lex Hernandez-Nietling,University of Utah,Swimming and Diving,Barstool Sports
16,Ryan Culley,Central Michigan University,Baseball,Barstool Sports
17,Chloe Schiavone,University of Notre Dame,Golf,Barstool Sports
18,Brianna Bailey,Metropolitan State University of Denver,Basketball,Barstool Sports
19,Logan Case,Western Michigan University,Volleyball,Barstool Sports
0,Noah Harvey,Michigan State University,Football,Barstool Sports
1,Jarron Silva,"University of California, Los Angeles",Baseball,Barstool Sports
2,Riley Mann,Central Michigan University,Soccer,Barstool Sports
3,Allyson Gallagher,Duquesne University,Rowing,Barstool Sports
4,Morgan Cox,Butler University,Lacrosse,Barstool Sports
5,Braylon Henderson,North Dakota State University,Football,Barstool Sports
6,Joshua Fields,University of Texas at El Paso,Football,Barstool Sports
7,Claire Dorman,University of Akron,Lacrosse,Barstool Sports
8,Brendon Passarelli,Lehigh University,Football,Barstool Sports
9,Nick Jones,Georgia Southern University,Baseball,Barstool Sports
10,Johnny Giannola,San Diego State University,Baseball,Barstool Sports
11,Matt Wright,Southeastern Louisiana University,Football,Barstool Sports
12,Alex Keener,Saint Joseph's University,Lacrosse,Barstool Sports
13,Dani Pollard,Jacksonville University,Soccer,Barstool Sports
14,Reagan Russell,Kent State University,Lacrosse,Barstool Sports
15,Dustin Hasley,Oral Roberts University,Golf,Barstool Sports
16,David Stone,Abilene Christian University,Football,Barstool Sports
17,Isaac Lindsey,University of WisconsinâMadison,Basketball,Barstool Sports
18,Miranda Wucherer,Northern Kentucky University,Volleyball,Barstool Sports
19,Kenny Walter,GardnerâWebb University,Golf,Barstool Sports
0,Madison Martin,Louisiana State University,Volleyball,Barstool Sports
1,Canyon Tuman,Pennsylvania State University,Volleyball,Barstool Sports
2,Ellison Seymour,Merrimack College,Track and Field,Barstool Sports
3,Jack Robilotti,College of the Holy Cross,Ice Hockey,Barstool Sports
4,Travis Stockton,North Carolina State University,Rifle,Barstool Sports
5,Delaney Rummell,University of Illinois at UrbanaâChampaign,Softball,Barstool Sports
6,Garrett Staton,Samford University,Baseball,Barstool Sports
7,Dale Thomas,Coastal Carolina University,Baseball,Barstool Sports
8,Jan Maciejewski,Lehigh University,Football,Barstool Sports
9,Myles Webb,"University of California, Los Angeles",Track and Field,Barstool Sports
10,Tom Hutton,Oklahoma State UniversityâStillwater,Football,Barstool Sports
11,Nolan Manzer,Norfolk State University,Baseball,Barstool Sports
12,Jamal Woods,University of Illinois at UrbanaâChampaign,Football,Barstool Sports
13,Brandon Morales,Cornell University,Soccer,Barstool Sports
14,Grayson Gunter,University of Southern Mississippi,Football,Barstool Sports
15,Nate Weeldreyer,University of Washington,Baseball,Barstool Sports
16,Shane Gorman,"University of Maryland, Baltimore County",Baseball,Barstool Sports
17,Mason Shipp,Yale University,Football,Barstool Sports
18,Paige Myers,University of Detroit Mercy,Soccer,Barstool Sports
19,Philippe Marcoux,Yale University,Swimming and Diving,Barstool Sports
0,Patrick Oliva,Valparaiso University,Football,Barstool Sports
1,Colin Sharkey,University of Vermont,Lacrosse,Barstool Sports
2,Eileen Gex,University of Delaware,Volleyball,Barstool Sports
3,Eddie Grant,Lafayette College,Soccer,Barstool Sports
4,Willie Weiss,University of Michigan,Baseball,Barstool Sports
5,Tyler Sylvester,Tennessee Technological University,Baseball,Barstool Sports
6,Liam Deep,Fairleigh Dickinson University,Cross Country,Barstool Sports
7,Olivia Thompson,University of South Carolina,Basketball,Barstool Sports
8,Marnelle Garraud,Boston College,Basketball,Barstool Sports
9,Stevie Ballard,Northwestern State University,Football,Barstool Sports
10,Jake Barbiere,Rider University,Baseball,Barstool Sports
11,ArondÃ© Khalil Bell,Eastern Kentucky University,Baseball,Barstool Sports
